NEGERI,PPD,PUSAT,SEMESTER,BIDANG,PAKEJ MATA PELAJARAN
JOHOR,BATU PAHAT,SMK SENGGARANG,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, SEJ, EKO, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, PP, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, SEJ, EKO, GEO"
JOHOR,BATU PAHAT,SMK SENGGARANG,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, PP, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, SEJ, EKO, GEO"
JOHOR,BATU PAHAT,SMK SENGGARANG,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, SEJ, EKO, GEO"
JOHOR,BATU PAHAT,SMK SERI MEDAN,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, PP, KMK, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, KMK, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, PP, KMK, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, KMK"
JOHOR,BATU PAHAT,SMK SERI MEDAN,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, SEJ, KMK, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, PP, KMK, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, KMK"
JOHOR,BATU PAHAT,SMK SERI MEDAN,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, PP, KMK, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, KMK"
JOHOR,BATU PAHAT,SMK SERI MEDAN,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, SEJ, KMK"
JOHOR,BATU PAHAT,SMK DATO SULAIMAN,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, SEJ, GEO, PP, SV, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, GEO, SV, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SV, GEO, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, GEO, PP, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SV, GEO, PP"
JOHOR,BATU PAHAT,SMK DATO SULAIMAN,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, SEJ, GEO, SV, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SV, GEO, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, GEO, PP, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SV, GEO, PP"
JOHOR,BATU PAHAT,SMK DATO SULAIMAN,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, SV, GEO, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, GEO, PP, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SV, GEO, PP"
JOHOR,BATU PAHAT,SMK DATO SULAIMAN,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, SEJ, GEO, PP, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SV, GEO, PP"
JOHOR,BATU PAHAT,SMK DATO SULAIMAN,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, SEJ, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SV, GEO, PP"
JOHOR,BATU PAHAT,SMK DATO SULAIMAN,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, SV, GEO, PP"
JOHOR,BATU PAHAT,SMK DATO'' ONN,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, EKO, GEO, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, PP, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, EKO, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, PP, SV"
JOHOR,BATU PAHAT,SMK DATO'' ONN,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, SEJ, PP, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, EKO, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, PP, SV"
JOHOR,BATU PAHAT,SMK DATO'' ONN,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, EKO, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, PP, SV"
JOHOR,BATU PAHAT,SMK DATO'' ONN,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, SEJ, PP, SV"
JOHOR,BATU PAHAT,SMK DATIN ONN,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, PP, SEJ, EKO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, PP, SEJ, EKO"
JOHOR,BATU PAHAT,SMK DATIN ONN,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, PP, SEJ, EKO"
JOHOR,BATU PAHAT,SMK DATO SETH,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, EKO, SV, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, SEJ, SS, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, KMK, EKO, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, SEJ, PP, SS"
JOHOR,BATU PAHAT,SMK DATO SETH,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, SEJ, SS, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, KMK, EKO, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, SEJ, PP, SS"
JOHOR,BATU PAHAT,SMK DATO SETH,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, KMK, EKO, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, SEJ, PP, SS"
JOHOR,BATU PAHAT,SMK DATO SETH,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, SEJ, PP, SS"
JOHOR,BATU PAHAT,SEKOLAH TINGGI BATU PAHAT,SEMESTER 1,SAINS,"BI (MUET), PA, MT, CHE, BIO, SEMESTER 1, SAINS, BI (MUET), PA, MT, CHE, PHY, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, EKO, PP, SV, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, SEJ, SS, BM, SEMESTER 3, SAINS, BI (MUET), PA, MT, CHE, BIO, SEMESTER 3, SAINS, BI (MUET), PA, MT, CHE, PHY, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, EKO, PP, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, SEJ, SS, BM"
JOHOR,BATU PAHAT,SEKOLAH TINGGI BATU PAHAT,SEMESTER 1,SAINS,"BI (MUET), PA, MT, CHE, PHY, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, EKO, PP, SV, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, SEJ, SS, BM, SEMESTER 3, SAINS, BI (MUET), PA, MT, CHE, BIO, SEMESTER 3, SAINS, BI (MUET), PA, MT, CHE, PHY, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, EKO, PP, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, SEJ, SS, BM"
JOHOR,BATU PAHAT,SEKOLAH TINGGI BATU PAHAT,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, EKO, PP, SV, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, SEJ, SS, BM, SEMESTER 3, SAINS, BI (MUET), PA, MT, CHE, BIO, SEMESTER 3, SAINS, BI (MUET), PA, MT, CHE, PHY, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, EKO, PP, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, SEJ, SS, BM"
JOHOR,BATU PAHAT,SEKOLAH TINGGI BATU PAHAT,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, SEJ, SS, BM, SEMESTER 3, SAINS, BI (MUET), PA, MT, CHE, BIO, SEMESTER 3, SAINS, BI (MUET), PA, MT, CHE, PHY, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, EKO, PP, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, SEJ, SS, BM"
JOHOR,BATU PAHAT,SEKOLAH TINGGI BATU PAHAT,SEMESTER 3,SAINS,"BI (MUET), PA, MT, CHE, BIO, SEMESTER 3, SAINS, BI (MUET), PA, MT, CHE, PHY, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, EKO, PP, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, SEJ, SS, BM"
JOHOR,BATU PAHAT,SEKOLAH TINGGI BATU PAHAT,SEMESTER 3,SAINS,"BI (MUET), PA, MT, CHE, PHY, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, EKO, PP, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, SEJ, SS, BM"
JOHOR,BATU PAHAT,SEKOLAH TINGGI BATU PAHAT,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, EKO, PP, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, SEJ, SS, BM"
JOHOR,BATU PAHAT,SEKOLAH TINGGI BATU PAHAT,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, SEJ, SS, BM"
JOHOR,BATU PAHAT,SMK ( P ) TEMENGGONG IBRAHIM,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, PP, SEJ, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, SV, GEO, EKO"
JOHOR,BATU PAHAT,SMK ( P ) TEMENGGONG IBRAHIM,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, SV, GEO, EKO"
JOHOR,BATU PAHAT,SMK MUNSYI SULAIMAN,SEMESTER 1,SAINS,"BI (MUET), PA, MT, CHE, BIO, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, EKO, PP, SV, MM, SEMESTER 3, SAINS, BI (MUET), PA, MT, CHE, BIO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, EKO, PP, SV, MM"
JOHOR,BATU PAHAT,SMK MUNSYI SULAIMAN,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, SEJ, SV, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, EKO, PP, SV, MM, SEMESTER 3, SAINS, BI (MUET), PA, MT, CHE, BIO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, EKO, PP, SV, MM"
JOHOR,BATU PAHAT,SMK MUNSYI SULAIMAN,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, EKO, PP, SV, MM, SEMESTER 3, SAINS, BI (MUET), PA, MT, CHE, BIO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, EKO, PP, SV, MM"
JOHOR,BATU PAHAT,SMK MUNSYI SULAIMAN,SEMESTER 3,SAINS,"BI (MUET), PA, MT, CHE, BIO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, EKO, PP, SV, MM"
JOHOR,BATU PAHAT,SMK MUNSYI SULAIMAN,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, SEJ, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, EKO, PP, SV, MM"
JOHOR,BATU PAHAT,SMK MUNSYI SULAIMAN,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, EKO, PP, SV, MM"
JOHOR,BATU PAHAT,SMK TUN SARDON,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, GEO, BM, EKO, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, GEO, BM, PP, SEJ, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, SV, BM, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, GEO, BM, EKO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, GEO, BM, PP, SEJ, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, SV, BM, PP"
JOHOR,BATU PAHAT,SMK TUN SARDON,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, GEO, BM, PP, SEJ, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, SV, BM, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, GEO, BM, EKO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, GEO, BM, PP, SEJ, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, SV, BM, PP"
JOHOR,BATU PAHAT,SMK TUN SARDON,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, SV, BM, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, GEO, BM, EKO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, GEO, BM, PP, SEJ, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, SV, BM, PP"
JOHOR,BATU PAHAT,SMK TUN SARDON,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, GEO, BM, EKO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, GEO, BM, PP, SEJ, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, SV, BM, PP"
JOHOR,BATU PAHAT,SMK TUN SARDON,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, GEO, BM, PP, SEJ, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, SV, BM, PP"
JOHOR,BATU PAHAT,SMK TUN SARDON,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, SV, BM, PP"
JOHOR,BATU PAHAT,SMK TUN ISMAIL,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, KMK, SV, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, GEO, EKO, SEJ, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, SEJ, PP, BM, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, KMK, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SV, KMK, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, GEO, EKO, SEJ, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, SEJ, PP, BM, GEO"
JOHOR,BATU PAHAT,SMK TUN ISMAIL,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, GEO, EKO, SEJ, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, SEJ, PP, BM, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, KMK, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SV, KMK, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, GEO, EKO, SEJ, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, SEJ, PP, BM, GEO"
JOHOR,BATU PAHAT,SMK TUN ISMAIL,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, SEJ, PP, BM, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, KMK, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SV, KMK, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, GEO, EKO, SEJ, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, SEJ, PP, BM, GEO"
JOHOR,BATU PAHAT,SMK TUN ISMAIL,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, KMK, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SV, KMK, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, GEO, EKO, SEJ, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, SEJ, PP, BM, GEO"
JOHOR,BATU PAHAT,SMK TUN ISMAIL,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, SV, KMK, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, GEO, EKO, SEJ, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, SEJ, PP, BM, GEO"
JOHOR,BATU PAHAT,SMK TUN ISMAIL,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, GEO, EKO, SEJ, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, SEJ, PP, BM, GEO"
JOHOR,BATU PAHAT,SMK TUN ISMAIL,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, SEJ, PP, BM, GEO"
JOHOR,BATU PAHAT,SMK SEMERAH,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, EKO, GEO, SEJ, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, KMK, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, EKO, GEO, SEJ, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, KMK, SV"
JOHOR,BATU PAHAT,SMK SEMERAH,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, KMK, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, EKO, GEO, SEJ, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, KMK, SV"
JOHOR,BATU PAHAT,SMK SEMERAH,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, EKO, GEO, SEJ, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, KMK, SV"
JOHOR,BATU PAHAT,SMK SEMERAH,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, KMK, SV"
JOHOR,BATU PAHAT,SMK DATUK MENTERI,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, EKO, GEO, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, KMK, SEJ, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, EKO, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, KMK, SEJ, SV"
JOHOR,BATU PAHAT,SMK DATUK MENTERI,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, KMK, SEJ, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, EKO, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, KMK, SEJ, SV"
JOHOR,BATU PAHAT,SMK DATUK MENTERI,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, EKO, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, KMK, SEJ, SV"
JOHOR,BATU PAHAT,SMK DATUK MENTERI,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, KMK, SEJ, SV"
JOHOR,BATU PAHAT,SMK YONG PENG,SEMESTER 1,SAINS,"BI (MUET), PA, MT, CHE, PHY, BIO, SEMESTER 3, SAINS, BI (MUET), PA, MT, CHE, PHY, BIO"
JOHOR,BATU PAHAT,SMK YONG PENG,SEMESTER 3,SAINS,"BI (MUET), PA, MT, CHE, PHY, BIO"
JOHOR,BATU PAHAT,SMK TUNKU PUTRA,SEMESTER 1,SAINS,"BI (MUET), PA, MT, CHE, BIO, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, EKO, GEO, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, GEO, SEMESTER 3, SAINS, BI (MUET), PA, MT, CHE, BIO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, EKO, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, GEO"
JOHOR,BATU PAHAT,SMK TUNKU PUTRA,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, EKO, GEO, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, GEO, SEMESTER 3, SAINS, BI (MUET), PA, MT, CHE, BIO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, EKO, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, GEO"
JOHOR,BATU PAHAT,SMK TUNKU PUTRA,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, SEJ, GEO, SEMESTER 3, SAINS, BI (MUET), PA, MT, CHE, BIO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, EKO, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, GEO"
JOHOR,BATU PAHAT,SMK TUNKU PUTRA,SEMESTER 3,SAINS,"BI (MUET), PA, MT, CHE, BIO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, EKO, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, GEO"
JOHOR,BATU PAHAT,SMK TUNKU PUTRA,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, EKO, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, GEO"
JOHOR,BATU PAHAT,SMK TUNKU PUTRA,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, SEJ, GEO"
JOHOR,JOHOR BAHRU,SMK SULTAN ISMAIL,SEMESTER 1,SAINS,"BI (MUET), PA, MT, CHE, BIO, SEMESTER 1, SAINS, BI (MUET), PA, MT, CHE, PHY, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, EKO, SEMESTER 3, SAINS, BI (MUET), PA, MT, CHE, BIO, SEMESTER 3, SAINS, BI (MUET), PA, MT, CHE, PHY, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, EKO"
JOHOR,JOHOR BAHRU,SMK SULTAN ISMAIL,SEMESTER 1,SAINS,"BI (MUET), PA, MT, CHE, PHY, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, EKO, SEMESTER 3, SAINS, BI (MUET), PA, MT, CHE, BIO, SEMESTER 3, SAINS, BI (MUET), PA, MT, CHE, PHY, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, EKO"
JOHOR,JOHOR BAHRU,SMK SULTAN ISMAIL,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, SEJ, EKO, SEMESTER 3, SAINS, BI (MUET), PA, MT, CHE, BIO, SEMESTER 3, SAINS, BI (MUET), PA, MT, CHE, PHY, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, EKO"
